 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4,aureme5
MNXR145234,1,0,0,1,0,1,1,1,0,0,1,1,1
MNXR145269,1,0,1,1,1,1,0,1,1,1,1,1,1
MNXR145285,1,1,1,1,0,0,0,1,0,1,1,1,1
MNXR145318,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR145437,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145440,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145476,1,0,1,1,0,1,1,1,1,1,1,1,1
MNXR145509,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR145513,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR145554,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145582,1,1,0,1,0,0,1,1,1,0,1,1,1
MNXR145590,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145601,1,1,1,1,1,1,1,1,0,1,1,1,1
MNXR145703,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR145718,1,0,0,1,0,1,1,0,1,0,1,1,1
MNXR145755,1,1,1,1,0,1,1,1,1,1,1,1,1
MNXR145773,1,0,0,1,0,1,1,1,1,0,1,1,1
MNXR145782,1,1,0,0,0,1,0,0,0,0,0,0,0
MNXR145795,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145799,1,0,0,1,0,1,1,1,1,0,1,1,1
MNXR145801,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145803,1,0,0,1,0,0,0,0,1,0,1,1,1
MNXR145805,1,0,0,1,0,1,1,0,1,0,1,1,1
MNXR145901,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145903,1,0,0,0,0,0,0,0,0,0,1,0,1
MNXR145952,1,1,0,1,1,1,1,1,1,0,1,1,1
MNXR145954,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145956,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145958,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145980,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR145988,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146072,1,1,0,1,0,0,0,1,0,0,1,1,1
